probe_number,X,Y,Z,checkerboard_number
2,-273.5294117647059,-285.0,1000,6
3,-255.8823529411765,-285.0,1000,6
4,-238.23529411764707,-285.0,1000,6
5,-220.58823529411765,-285.0,1000,6
10,-132.3529411764706,-285.0,1000,6
17,-8.823529411764707,-285.0,1000,6
18,8.823529411764707,-285.0,1000,6
25,132.3529411764706,-285.0,1000,6
26,150.0,-285.0,1000,6
32,255.8823529411765,-285.0,1000,6
38,-238.23529411764707,-255.0,1000,6
44,-132.3529411764706,-255.0,1000,6
48,-61.76470588235294,-255.0,1000,6
51,-8.823529411764707,-255.0,1000,6
52,8.823529411764707,-255.0,1000,6
57,97.05882352941177,-255.0,1000,6
64,220.58823529411765,-255.0,1000,6
68,291.1764705882353,-255.0,1000,6
88,44.11764705882353,-225.0,1000,6
89,61.76470588235294,-225.0,1000,6
93,132.3529411764706,-225.0,1000,6
102,291.1764705882353,-225.0,1000,6
103,-291.1764705882353,-195.0,1000,6
106,-238.23529411764707,-195.0,1000,6
108,-202.94117647058826,-195.0,1000,6
111,-150.0,-195.0,1000,6
116,-61.76470588235294,-195.0,1000,6
117,-44.11764705882353,-195.0,1000,6
118,-26.47058823529412,-195.0,1000,6
121,26.47058823529412,-195.0,1000,6
122,44.11764705882353,-195.0,1000,6
123,61.76470588235294,-195.0,1000,6
130,185.29411764705884,-195.0,1000,6
134,255.8823529411765,-195.0,1000,6
136,291.1764705882353,-195.0,1000,6
145,-150.0,-165.0,1000,6
146,-132.3529411764706,-165.0,1000,6
149,-79.41176470588236,-165.0,1000,6
152,-26.47058823529412,-165.0,1000,6
154,8.823529411764707,-165.0,1000,6
166,220.58823529411765,-165.0,1000,6
172,-273.5294117647059,-135.0,1000,6
180,-132.3529411764706,-135.0,1000,6
189,26.47058823529412,-135.0,1000,6
193,97.05882352941177,-135.0,1000,6
194,114.70588235294119,-135.0,1000,6
207,-255.8823529411765,-105.0,1000,6
210,-202.94117647058826,-105.0,1000,6
211,-185.29411764705884,-105.0,1000,6
216,-97.05882352941177,-105.0,1000,6
227,97.05882352941177,-105.0,1000,6
234,220.58823529411765,-105.0,1000,6
242,-238.23529411764707,-75.0,1000,6
243,-220.58823529411765,-75.0,1000,6
246,-167.64705882352942,-75.0,1000,6
247,-150.0,-75.0,1000,6
250,-97.05882352941177,-75.0,1000,6
260,79.41176470588236,-75.0,1000,6
262,114.70588235294119,-75.0,1000,6
267,202.94117647058826,-75.0,1000,6
268,220.58823529411765,-75.0,1000,6
272,291.1764705882353,-75.0,1000,6
273,-291.1764705882353,-45.0,1000,6
275,-255.8823529411765,-45.0,1000,6
278,-202.94117647058826,-45.0,1000,6
286,-61.76470588235294,-45.0,1000,6
291,26.47058823529412,-45.0,1000,6
302,220.58823529411765,-45.0,1000,6
303,238.23529411764707,-45.0,1000,6
304,255.8823529411765,-45.0,1000,6
317,-114.70588235294119,-15.0,1000,6
340,291.1764705882353,-15.0,1000,6
347,-185.29411764705884,15.0,1000,6
354,-61.76470588235294,15.0,1000,6
355,-44.11764705882353,15.0,1000,6
357,-8.823529411764707,15.0,1000,6
366,150.0,15.0,1000,6
367,167.64705882352942,15.0,1000,6
372,255.8823529411765,15.0,1000,6
374,291.1764705882353,15.0,1000,6
379,-220.58823529411765,45.0,1000,6
380,-202.94117647058826,45.0,1000,6
381,-185.29411764705884,45.0,1000,6
386,-97.05882352941177,45.0,1000,6
389,-44.11764705882353,45.0,1000,6
396,79.41176470588236,45.0,1000,6
411,-255.8823529411765,75.0,1000,6
412,-238.23529411764707,75.0,1000,6
423,-44.11764705882353,75.0,1000,6
431,97.05882352941177,75.0,1000,6
433,132.3529411764706,75.0,1000,6
439,238.23529411764707,75.0,1000,6
440,255.8823529411765,75.0,1000,6
451,-150.0,105.0,1000,6
458,-26.47058823529412,105.0,1000,6
479,-255.8823529411765,135.0,1000,6
482,-202.94117647058826,135.0,1000,6
485,-150.0,135.0,1000,6
494,8.823529411764707,135.0,1000,6
499,97.05882352941177,135.0,1000,6
505,202.94117647058826,135.0,1000,6
508,255.8823529411765,135.0,1000,6
510,291.1764705882353,135.0,1000,6
511,-291.1764705882353,165.0,1000,6
512,-273.5294117647059,165.0,1000,6
530,44.11764705882353,165.0,1000,6
535,132.3529411764706,165.0,1000,6
537,167.64705882352942,165.0,1000,6
546,-273.5294117647059,195.0,1000,6
549,-220.58823529411765,195.0,1000,6
574,220.58823529411765,195.0,1000,6
575,238.23529411764707,195.0,1000,6
598,44.11764705882353,225.0,1000,6
600,79.41176470588236,225.0,1000,6
606,185.29411764705884,225.0,1000,6
608,220.58823529411765,225.0,1000,6
609,238.23529411764707,225.0,1000,6
620,-167.64705882352942,255.0,1000,6
621,-150.0,255.0,1000,6
638,150.0,255.0,1000,6
640,185.29411764705884,255.0,1000,6
653,-185.29411764705884,285.0,1000,6
654,-167.64705882352942,285.0,1000,6
656,-132.3529411764706,285.0,1000,6
666,44.11764705882353,285.0,1000,6
669,97.05882352941177,285.0,1000,6
670,114.70588235294119,285.0,1000,6
671,132.3529411764706,285.0,1000,6
678,255.8823529411765,285.0,1000,6
