,probe_number,X,Y,Z
0,4,26.25,3.75,1000
1,5,33.75,3.75,1000
2,9,63.75,3.75,1000
3,11,78.75,3.75,1000
4,16,116.25,3.75,1000
5,17,123.75,3.75,1000
6,20,146.25,3.75,1000
7,24,176.25,3.75,1000
8,32,236.25,3.75,1000
9,44,71.25,11.25,1000
10,66,236.25,11.25,1000
11,80,86.25,18.75,1000
12,87,138.75,18.75,1000
13,90,161.25,18.75,1000
14,91,168.75,18.75,1000
15,98,221.25,18.75,1000
16,99,228.75,18.75,1000
17,105,18.75,26.25,1000
18,111,63.75,26.25,1000
19,114,86.25,26.25,1000
20,117,108.75,26.25,1000
21,119,123.75,26.25,1000
22,124,161.25,26.25,1000
23,130,206.25,26.25,1000
24,151,108.75,33.75,1000
25,153,123.75,33.75,1000
26,158,161.25,33.75,1000
27,165,213.75,33.75,1000
28,171,3.75,41.25,1000
29,180,71.25,41.25,1000
30,183,93.75,41.25,1000
31,185,108.75,41.25,1000
32,187,123.75,41.25,1000
33,188,131.25,41.25,1000
34,195,183.75,41.25,1000
35,196,191.25,41.25,1000
36,201,228.75,41.25,1000
37,202,236.25,41.25,1000
38,205,3.75,48.75,1000
39,206,11.25,48.75,1000
40,214,71.25,48.75,1000
41,221,123.75,48.75,1000
42,229,183.75,48.75,1000
43,230,191.25,48.75,1000
44,234,221.25,48.75,1000
45,235,228.75,48.75,1000
46,237,243.75,48.75,1000
47,241,18.75,56.25,1000
48,246,56.25,56.25,1000
49,252,101.25,56.25,1000
50,256,131.25,56.25,1000
51,259,153.75,56.25,1000
52,261,168.75,56.25,1000
53,269,228.75,56.25,1000
54,270,236.25,56.25,1000
55,272,251.25,56.25,1000
56,281,63.75,63.75,1000
57,283,78.75,63.75,1000
58,285,93.75,63.75,1000
59,305,243.75,63.75,1000
60,309,18.75,71.25,1000
61,314,56.25,71.25,1000
62,315,63.75,71.25,1000
63,317,78.75,71.25,1000
64,320,101.25,71.25,1000
65,325,138.75,71.25,1000
66,329,168.75,71.25,1000
67,332,191.25,71.25,1000
68,334,206.25,71.25,1000
69,335,213.75,71.25,1000
70,344,26.25,78.75,1000
71,348,56.25,78.75,1000
72,351,78.75,78.75,1000
73,355,108.75,78.75,1000
74,357,123.75,78.75,1000
75,358,131.25,78.75,1000
76,368,206.25,78.75,1000
77,380,41.25,86.25,1000
78,381,48.75,86.25,1000
79,384,71.25,86.25,1000
80,385,78.75,86.25,1000
81,391,123.75,86.25,1000
82,395,153.75,86.25,1000
83,402,206.25,86.25,1000
84,410,11.25,93.75,1000
85,414,41.25,93.75,1000
86,415,48.75,93.75,1000
87,416,56.25,93.75,1000
88,418,71.25,93.75,1000
89,422,101.25,93.75,1000
90,423,108.75,93.75,1000
91,427,138.75,93.75,1000
92,432,176.25,93.75,1000
93,433,183.75,93.75,1000
94,435,198.75,93.75,1000
95,441,243.75,93.75,1000
96,444,11.25,101.25,1000
97,450,56.25,101.25,1000
98,453,78.75,101.25,1000
99,471,213.75,101.25,1000
100,474,236.25,101.25,1000
101,479,18.75,108.75,1000
102,485,63.75,108.75,1000
103,486,71.25,108.75,1000
104,487,78.75,108.75,1000
105,492,116.25,108.75,1000
106,499,168.75,108.75,1000
107,502,191.25,108.75,1000
108,506,221.25,108.75,1000
109,513,18.75,116.25,1000
110,514,26.25,116.25,1000
111,515,33.75,116.25,1000
112,517,48.75,116.25,1000
113,519,63.75,116.25,1000
114,523,93.75,116.25,1000
115,528,131.25,116.25,1000
116,536,191.25,116.25,1000
117,538,206.25,116.25,1000
118,546,11.25,123.75,1000
119,551,48.75,123.75,1000
120,553,63.75,123.75,1000
121,567,168.75,123.75,1000
122,587,63.75,131.25,1000
123,589,78.75,131.25,1000
124,592,101.25,131.25,1000
125,598,146.25,131.25,1000
126,599,153.75,131.25,1000
127,600,161.25,131.25,1000
128,602,176.25,131.25,1000
129,608,221.25,131.25,1000
130,611,243.75,131.25,1000
131,617,33.75,138.75,1000
132,624,86.25,138.75,1000
133,629,123.75,138.75,1000
134,630,131.25,138.75,1000
135,632,146.25,138.75,1000
136,633,153.75,138.75,1000
137,638,191.25,138.75,1000
138,643,228.75,138.75,1000
139,644,236.25,138.75,1000
140,645,243.75,138.75,1000
141,649,18.75,146.25,1000
142,665,138.75,146.25,1000
143,668,161.25,146.25,1000
144,669,168.75,146.25,1000
145,671,183.75,146.25,1000
146,673,198.75,146.25,1000
147,675,213.75,146.25,1000
148,676,221.25,146.25,1000
